Question,Answer
"Trouver deux nombres dans un tableau trié qui font une somme cible","Two Pointers"
"Vérifier si un mot est un palindrome","Two Pointers"
"Fusionner deux listes triées en une seule","Two Pointers"
"Détecter une boucle dans une liste chaînée","Fast/Slow Pointers"
"Compresser un tableau (éliminer les doublons en place)","Two Pointers"
"Vérifier si deux chaînes sont anagrammes après tri","Two Pointers (après tri)"
"Trouver la distance minimale entre deux éléments donnés dans un tableau trié","Two Pointers"
"Partitionner un tableau autour d’une valeur pivot","Two Pointers"
"Calculer l’aire max formée par deux lignes verticales (container with most water)","Two Pointers"
"Trouver le triplet avec somme = 0 dans un tableau trié","Two Pointers"
"Trouver la plus longue sous-chaîne sans caractères répétés","Sliding Window"
"Trouver le plus petit sous-tableau dont la somme est ≥ K","Sliding Window"
"Compter le nombre de sous-chaînes contenant au plus K caractères distincts","Sliding Window"
"Trouver la fenêtre minimale contenant tous les caractères d’une autre chaîne","Sliding Window"
"Vérifier si une permutation d’une chaîne existe dans une autre","Sliding Window"
"Trouver la moyenne maximale de tout sous-tableau de taille fixe k","Sliding Window"
"Trouver le plus long sous-tableau avec somme ≤ K (positifs)","Sliding Window"
"Déterminer si une chaîne contient une sous-chaîne avec des caractères répétés","Sliding Window"
"Compter les sous-tableaux de taille fixe qui satisfont une contrainte donnée","Sliding Window"
"Trouver le plus grand nombre de 1 consécutifs si on peut retourner au plus K zéros","Sliding Window"
"Rechercher un élément dans un tableau trié","Binary Search"
"Trouver la première et dernière occurrence d’un élément dans un tableau trié","Binary Search"
"Trouver la racine carrée entière d’un nombre","Binary Search"
"Trouver le plus petit élément dans un tableau trié et roté","Binary Search"
"Vérifier si une valeur existe dans une matrice triée","Binary Search"
"Déterminer la capacité minimale pour expédier des colis en D jours","Binary Search on Answer"
"Trouver la taille maximale d’une pizza partagée avec contrainte","Binary Search on Answer"
"Calculer le K-ième plus petit nombre dans une multiplication table","Binary Search on Answer"
"Vérifier la position où insérer un élément dans un tableau trié","Binary Search"
"Trouver le pic d’un tableau unimodal","Binary Search"
"Trouver le plus court chemin dans une grille 0/1","BFS"
"Parcours niveau par niveau d’un arbre binaire","BFS"
"Transformation de mot (Word Ladder)","BFS"
"Nombre minimum de coups pour résoudre un puzzle","BFS"
"Compter le nombre de pas nécessaires pour convertir une valeur en une autre","BFS"
"Trouver la distance minimale entre deux sommets dans un graphe non pondéré","BFS"
"Vérifier si un graphe est biparti","BFS"
"Simulation de propagation d’une infection dans une grille","BFS"
"Propagation de la couleur dans une image","BFS"
"Calculer la profondeur minimale d’un arbre binaire","BFS"
"Compter le nombre d’îles dans une grille","DFS"
"Vérifier la validité d’un chemin dans un graphe","DFS"
"Générer toutes les combinaisons possibles de parenthèses valides","DFS (Backtracking)"
"Déterminer si un mot existe dans une grille de lettres","DFS"
"Calculer la profondeur maximale d’un arbre binaire","DFS"
"Compter les composantes connexes dans un graphe","DFS"
"Vérifier s’il existe un cycle dans un graphe dirigé","DFS"
"Explorer toutes les permutations d’un tableau","DFS (Backtracking)"
"Remplissage récursif d’une zone (Flood Fill)","DFS"
"Vérifier si deux arbres binaires sont identiques","DFS"
"Résoudre un Sudoku","Backtracking"
"Problème des N-Reines","Backtracking"
"Générer toutes les permutations d’un tableau","Backtracking"
"Générer toutes les combinaisons d’une liste","Backtracking"
"Trouver toutes les solutions d’un labyrinthe","Backtracking"
"Générer tous les sous-ensembles possibles","Backtracking"
"Construire toutes les partitions valides d’une chaîne","Backtracking"
"Résoudre le problème du mot croisé","Backtracking"
"Générer toutes les séquences valides d’un clavier T9","Backtracking"
"Trouver tous les chemins d’une source à une destination dans un graphe","Backtracking"
"Trouver les K éléments les plus fréquents","Min-Heap"
"Extraire le K-ième plus grand élément","Heap"
"Fusionner K listes triées","Min-Heap"
"Planifier des tâches avec priorités","Heap"
"Trouver les K points les plus proches de l’origine","Heap"
"Maintenir un flux de médiane","Two Heaps"
"Algorithme de Dijkstra pour graphe pondéré","Min-Heap"
"Trouver les intervalles libres communs","Heap"
"Réorganiser une chaîne pour éviter les doublons consécutifs","Max-Heap"
"Extraire les K plus petites sommes de paires","Heap"
"Vérifier si deux chaînes sont des anagrammes","HashMap"
"Déterminer si un tableau contient des doublons","HashSet"
"Trouver une paire qui somme à une cible (tableau non trié)","HashMap"
"Compter les fréquences des mots dans un texte","HashMap"
"Vérifier si une sous-chaîne donnée existe","Hashing"
"Détecter un cycle dans une liste via stockage des pointeurs vus","HashSet"
"Vérifier si une chaîne est un palindrome en ignorant les caractères spéciaux","HashMap / HashSet"
"Calculer l’intersection de deux tableaux","HashSet"
"Déterminer le premier caractère non répété d’une chaîne","HashMap"
"Détecter des sous-tableaux avec somme nulle","HashMap"
"Résoudre le problème de la monnaie (Coin Change)","DP"
"Plus longue sous-suite croissante (LIS)","DP"
"Problème du sac à dos (Knapsack)","DP"
"Plus longue sous-chaîne commune entre deux chaînes","DP"
"Compter le nombre de chemins dans une grille","DP"
"Édition de distance entre deux chaînes (Edit Distance)","DP"
"Séquence de Fibonacci optimisée","DP"
"Partition d’un tableau en deux sous-ensembles égaux","DP"
"Nombre de façons d’atteindre un escalier (climb stairs)","DP"
"Maximum subarray sum (Kadane)","DP"
"Déterminer si un graphe orienté est un arbre","DFS / BFS"
"Vérifier si un arbre binaire est équilibré","DFS"
"Trouver la largeur maximale d’un arbre binaire","BFS"
"Décoder une chaîne encodée avec counts (ex: 3[a2[c]])","Stack + DFS"
"Vérifier si une séquence de parenthèses est valide","Stack"
"Construire un arbre à partir de parcours inorder + preorder","DFS (récursif)"
